MassiveID	filename	SampleType	NCBITaxonomy	MassSpectrometer	BiologicalSex	AgeInYears	UBERONBodyPartName	HealthStatus	DOIDCommonName	Ethnicity	SocialEconomicalStatus
MSV000083388	1_n_153001_01072015.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not collected	Infancy (<2 yrs)	blood plasma	acute illness	Kawasaki disease	not collected	not collected
MSV000083388	1_n_153001_03232016.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not collected	Infancy (<2 yrs)	blood plasma	healthy	no disease reported	not collected	not collected
MSV000083388	1_n_153023_03192015.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not collected	Infancy (<2 yrs)	blood plasma	acute illness	Kawasaki disease	not collected	not collected
MSV000083388	1_n_153023_05112016.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not collected	Infancy (<2 yrs)	blood plasma	healthy	no disease reported	not collected	not collected
MSV000083388	1_n_153038_01252017.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not collected	Infancy (<2 yrs)	blood plasma	healthy	no disease reported	not collected	not collected
MSV000083388	1_n_153046_06042015.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not collected	Infancy (<2 yrs)	blood plasma	acute illness	Kawasaki disease	not collected	not collected
MSV000083388	1_n_153046_07182016.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not collected	Infancy (<2 yrs)	blood plasma	healthy	no disease reported	not collected	not collected
MSV000083388	1_n_153056_07092015.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not collected	Infancy (<2 yrs)	blood plasma	acute illness	Kawasaki disease	not collected	not collected
MSV000083388	1_n_153056_07272016.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not collected	Infancy (<2 yrs)	blood plasma	healthy	no disease reported	not collected	not collected
MSV000083388	1_n_153067_08282015_1.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not collected	Infancy (<2 yrs)	blood plasma	acute illness	Kawasaki disease	not collected	not collected
MSV000083388	1_n_153067_08282015_2.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not collected	Infancy (<2 yrs)	blood plasma	acute illness	Kawasaki disease	not collected	not collected
MSV000083388	1_n_153067_08282015_3.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not collected	Infancy (<2 yrs)	blood plasma	acute illness	Kawasaki disease	not collected	not collected
MSV000083388	1_n_153067_09072016_2.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not collected	Infancy (<2 yrs)	blood plasma	healthy	no disease reported	not collected	not collected
MSV000083388	1_n_153067_09072016_3.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not collected	Infancy (<2 yrs)	blood plasma	healthy	no disease reported	not collected	not collected
MSV000083388	1_n_153067_09172016_1.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not collected	Infancy (<2 yrs)	blood plasma	healthy	no disease reported	not collected	not collected
MSV000083388	1_n_153072_09172015.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not collected	Infancy (<2 yrs)	blood plasma	acute illness	Kawasaki disease	not collected	not collected
MSV000083388	1_n_153072_11012017.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not collected	Infancy (<2 yrs)	blood plasma	healthy	no disease reported	not collected	not collected
MSV000083388	1_n_153080_01042017.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not collected	Infancy (<2 yrs)	blood plasma	healthy	no disease reported	not collected	not collected
MSV000083388	1_n_153080_11122015.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not collected	Infancy (<2 yrs)	blood plasma	acute illness	Kawasaki disease	not collected	not collected
MSV000083388	1_n_153084_11292017.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not collected	Infancy (<2 yrs)	blood plasma	healthy	no disease reported	not collected	not collected
MSV000083388	1_n_153084_12082015.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not collected	Infancy (<2 yrs)	blood plasma	acute illness	Kawasaki disease	not collected	not collected
MSV000083388	1_n_163014_02082017.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not collected	Infancy (<2 yrs)	blood plasma	healthy	no disease reported	not collected	not collected
MSV000083388	1_n_163014_02192016.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not collected	Infancy (<2 yrs)	blood plasma	acute illness	Kawasaki disease	not collected	not collected
MSV000083388	1_n_163016_02242016.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not collected	Infancy (<2 yrs)	blood plasma	acute illness	Kawasaki disease	not collected	not collected
MSV000083388	1_n_163016_04122017.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not collected	Infancy (<2 yrs)	blood plasma	healthy	no disease reported	not collected	not collected
MSV000083388	1_n_163032_03242016.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not collected	Infancy (<2 yrs)	blood plasma	acute illness	Kawasaki disease	not collected	not collected
MSV000083388	1_n_163032_05032017.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not collected	Infancy (<2 yrs)	blood plasma	healthy	no disease reported	not collected	not collected
MSV000083388	1_n_163039_01032018.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not collected	Infancy (<2 yrs)	blood plasma	healthy	no disease reported	not collected	not collected
MSV000083388	1_n_163039_04222016.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not collected	Infancy (<2 yrs)	blood plasma	acute illness	Kawasaki disease	not collected	not collected
MSV000083388	1_n_163045_05202016.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not collected	Infancy (<2 yrs)	blood plasma	acute illness	Kawasaki disease	not collected	not collected
MSV000083388	1_n_163045_09292018.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not collected	Infancy (<2 yrs)	blood plasma	healthy	no disease reported	not collected	not collected
MSV000083388	1_n_163055_07072016.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not collected	Infancy (<2 yrs)	blood plasma	acute illness	Kawasaki disease	not collected	not collected
MSV000083388	1_n_163055_08152017.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not collected	Infancy (<2 yrs)	blood plasma	healthy	no disease reported	not collected	not collected
MSV000083388	1_n_163067_08172016.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not collected	Infancy (<2 yrs)	blood plasma	acute illness	Kawasaki disease	not collected	not collected
MSV000083388	1_n_163067_10042017.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not collected	Infancy (<2 yrs)	blood plasma	healthy	no disease reported	not collected	not collected
MSV000083388	1_n_163081_07182018.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not collected	Infancy (<2 yrs)	blood plasma	healthy	no disease reported	not collected	not collected
MSV000083388	1_n_163081_09292016.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not collected	Infancy (<2 yrs)	blood plasma	acute illness	Kawasaki disease	not collected	not collected
MSV000083388	1_n_173003_01232017.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not collected	Infancy (<2 yrs)	blood plasma	acute illness	Kawasaki disease	not collected	not collected
MSV000083388	1_n_173003_03072018.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not collected	Infancy (<2 yrs)	blood plasma	healthy	no disease reported	not collected	not collected
MSV000083388	1_n_173051_05132017.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not collected	Infancy (<2 yrs)	blood plasma	acute illness	Kawasaki disease	not collected	not collected
MSV000083388	1_n_173051_05302018.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not collected	Infancy (<2 yrs)	blood plasma	healthy	no disease reported	not collected	not collected
MSV000083388	1_n_173066_07012017.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not collected	Infancy (<2 yrs)	blood plasma	acute illness	Kawasaki disease	not collected	not collected
MSV000083388	1_n_173066_07182018.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not collected	Infancy (<2 yrs)	blood plasma	healthy	no disease reported	not collected	not collected
MSV000083388	1_n_174008_11272017.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not collected	Infancy (<2 yrs)	blood plasma	unhealthy (NOS)	disease NOS	not collected	not collected
MSV000083388	1_n_184010_03162018.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not collected	Infancy (<2 yrs)	blood plasma	unhealthy (NOS)	disease NOS	not collected	not collected
MSV000083388	1_n_3232_03032006.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not collected	Infancy (<2 yrs)	blood plasma	acute illness	Kawasaki disease	not collected	not collected
MSV000083388	1_n_3232_08012018.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not collected	Infancy (<2 yrs)	blood plasma	healthy	no disease reported	not collected	not collected
MSV000083388	1_n_3297_03272007.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not collected	Infancy (<2 yrs)	blood plasma	acute illness	Kawasaki disease	not collected	not collected
MSV000083388	1_n_3297_04202011.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not collected	Infancy (<2 yrs)	blood plasma	healthy	no disease reported	not collected	not collected
